Leonardo da Vinci;Michelangelo Buonarroti;Leonardo da Vinci;Isaac Newton;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTnmXXUCuXAxeQ7c8oEvfbEFhmwZpk16OKnc1f62-Ky3pgaLUcG
Gabriele d'Annunzio;Giovanni Verga;Gabriele d'Annunzio;Albert Einstein;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQnxriIUZ7SFVrwpgNeaLSoAZqrqICqAwk8py4AnMKEGtNcsaNs
Winston Churchill;Adolf Hitler;Winston Churchill;Franklin D. Roosevelt;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSb1ofaTfEuBm618q95fm4RpegpXnVEaVgeYsgfIsFeWOFDZ9Ld
Cleopatra;Julius Caesar;Cleopatra;Alexander the Great;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTPIjHGERXU-qoIQBMFjw_CK6L_QpeIAhOfWorKHTg-hK5ccDFm
Nelson Mandela;Martin Luther King Jr.;Nelson Mandela;Mahatma Gandhi;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUOIvZF8UIe2Z7KtpjnfGUUVGn-DqOJm-XvbpTNh72SRUfxO2H
Queen Elizabeth I;King Henry VIII;Queen Elizabeth I;William Shakespeare;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQRtMELirNcnipVF6esgrz92z2VqujoN0PY_yxZJVOvW-22GZsc
Marie Curie;Albert Einstein;Marie Curie;Isaac Newton;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT_xaPaxA4q2Nm007c8DhG_iFRQVnLJyFGHB8g6DZl9Ughnz78_
Abraham Lincoln;George Washington;Abraham Lincoln;Thomas Jefferson;https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS5ULQdoAXT86GSrirHo5KFzirhdimvPrFXNHb3t75e3Lz6h_tI
Joan of Arc;William the Conqueror;Joan of Arc;Queen Elizabeth I;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRKX52_M-FmAB_L_QU--iy7A2oU85kpEmqshBuJeS8vXupxkgBY
Mozart;Beethoven;Mozart;Bach;https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTmbLnjhbS4Q7ktFkZ8mRgCuxNiasT6AzdLs_KLTPxlppJfdwD4
